,TickerSymbol,ContractName,Open,High,Low,Close,Settlement,Volume,OpenInterest,Date
222,PEGAS G8BM122022,Dec-2022,105.0,105.0,97.75,97.75,97.924,106.0,19817,2022-11-11T00:00:00.0000000
223,PEGAS G8BM122022,Dec-2022,101.0,117.0,101.0,117.0,113.445,67.0,19903,2022-11-14T00:00:00.0000000
224,PEGAS G8BM122022,Dec-2022,126.0,126.0,122.0,123.75,122.9,213.0,20239,2022-11-15T00:00:00.0000000
225,PEGAS G8BM122022,Dec-2022,119.0,120.385,108.0,108.0,113.86,171.0,20404,2022-11-16T00:00:00.0000000
226,PEGAS G8BM122022,Dec-2022,105.1,109.0,105.0,109.0,111.791,52.0,20455,2022-11-17T00:00:00.0000000
227,PEGAS G8BM122022,Dec-2022,112.8,115.5,109.0,115.5,115.049,207.0,20660,2022-11-18T00:00:00.0000000
228,PEGAS G8BM122022,Dec-2022,118.25,118.5,114.5,114.5,114.991,378.0,21034,2022-11-21T00:00:00.0000000
229,PEGAS G8BM122022,Dec-2022,116.0,120.0,115.0,120.0,119.17,144.0,21178,2022-11-22T00:00:00.0000000
230,PEGAS G8BM122022,Dec-2022,131.0,132.0,123.0,127.5,128.75,243.0,21758,2022-11-23T00:00:00.0000000
231,PEGAS G8BM122022,Dec-2022,126.5,127.0,122.0,123.4,123.125,162.0,21954,2022-11-24T00:00:00.0000000
232,PEGAS G8BM122022,Dec-2022,124.4,124.5,121.5,123.5,124.04,77.0,22276,2022-11-25T00:00:00.0000000
233,PEGAS G8BM122022,Dec-2022,122.0,124.7,117.0,121.7,122.52,360.0,22742,2022-11-28T00:00:00.0000000
234,PEGAS G8BM122022,Dec-2022,128.0,131.6,127.1,128.5,130.56,528.0,23500,2022-11-29T00:00:00.0000000
235,PEGAS G8BM012023,Jan-2023,136.925,145.1,136.925,142.0,144.224,17.0,1154,2022-11-30T00:00:00.0000000
236,PEGAS G8BM012023,Jan-2023,154.0,154.5,140.0,140.0,138.594,95.0,1226,2022-12-01T00:00:00.0000000
237,PEGAS G8BM012023,Jan-2023,129.5,134.0,129.5,131.9,133.23,88.0,1273,2022-12-02T00:00:00.0000000
238,PEGAS G8BM012023,Jan-2023,138.0,138.5,132.0,134.25,133.367,294.0,1592,2022-12-05T00:00:00.0000000
239,PEGAS G8BM012023,Jan-2023,134.75,138.5,133.25,138.5,137.831,139.0,1815,2022-12-06T00:00:00.0000000
240,PEGAS G8BM012023,Jan-2023,142.5,149.0,141.0,149.0,148.454,151.0,1966,2022-12-07T00:00:00.0000000
241,PEGAS G8BM012023,Jan-2023,152.75,152.75,140.25,140.25,139.04,17.0,1983,2022-12-08T00:00:00.0000000
242,PEGAS G8BM012023,Jan-2023,139.9,139.9,134.5,135.0,138.44,64.0,2042,2022-12-09T00:00:00.0000000
243,PEGAS G8BM012023,Jan-2023,130.0,135.0,130.0,134.3,136.352,100.0,2133,2022-12-12T00:00:00.0000000
244,PEGAS G8BM012023,Jan-2023,139.5,140.4,137.75,137.75,137.015,108.0,2238,2022-12-13T00:00:00.0000000
245,PEGAS G8BM012023,Jan-2023,134.5,134.5,129.0,131.0,131.5,88.0,2367,2022-12-14T00:00:00.0000000
246,PEGAS G8BM012023,Jan-2023,134.35,135.5,134.35,135.0,134.763,11.0,2377,2022-12-15T00:00:00.0000000
247,PEGAS G8BM012023,Jan-2023,129.2,129.2,116.9,116.9,116.08,36.0,2413,2022-12-16T00:00:00.0000000
248,PEGAS G8BM012023,Jan-2023,108.5,110.985,108.5,110.0,109.204,99.0,2657,2022-12-19T00:00:00.0000000
249,PEGAS G8BM012023,Jan-2023,105.6,105.7,105.2,105.6,105.862,40.0,2747,2022-12-20T00:00:00.0000000
250,PEGAS G8BM012023,Jan-2023,100.2,100.2,98.2,98.2,98.52,166.0,2903,2022-12-21T00:00:00.0000000
251,PEGAS G8BM012023,Jan-2023,95.2,95.45,91.8,91.8,92.61,130.0,3048,2022-12-22T00:00:00.0000000
252,PEGAS G8BM012023,Jan-2023,87.3,87.3,82.6,84.75,83.189,122.0,3170,2022-12-23T00:00:00.0000000
253,PEGAS G8BM012023,Jan-2023,84.0,84.0,80.5,80.5,82.521,8.0,3178,2022-12-27T00:00:00.0000000
254,PEGAS G8BM012023,Jan-2023,78.0,84.0,78.0,82.0,81.728,424.0,21453,2022-12-28T00:00:00.0000000
255,PEGAS G8BM012023,Jan-2023,85.0,85.0,83.0,84.8,84.278,108.0,21126,2022-12-29T00:00:00.0000000
